Date,Actual,ARIMA_Forecast,SARIMA_Forecast,ARIMA_Error,SARIMA_Error,ARIMA_Abs_Error,SARIMA_Abs_Error
2020-10-01,750.459,752.2411883706833,751.8242032773118,-1.7821883706833432,-1.3652032773118208,1.7821883706833432,1.3652032773118208
2020-11-01,755.4286,749.9230342188785,756.5613168372736,5.505565781121504,-1.1327168372736196,5.505565781121504,1.1327168372736196
2020-12-01,775.9651,757.0838285575827,771.7425106278926,18.8812714424173,4.22258937210745,18.8812714424173,4.22258937210745
2021-01-01,757.2348,781.662739614186,773.7657257824113,-24.427939614186016,-16.530925782411373,24.427939614186016,16.530925782411373
2021-02-01,742.5595,749.9956917171861,740.7952580478033,-7.436191717186148,1.7642419521966985,7.436191717186148,1.7642419521966985
2021-03-01,727.0568,740.3520902457448,737.1839043877161,-13.295290245744809,-10.127104387716145,13.295290245744809,10.127104387716145
2021-04-01,726.0697,723.0751604633623,737.1183271426747,2.994539536637717,-11.048627142674718,2.994539536637717,11.048627142674718
2021-05-01,738.7936,726.9634281330275,724.3257616682281,11.830171866972478,14.467838331771873,11.830171866972478,14.467838331771873
2021-06-01,753.8548,742.3401842239203,746.1314320774261,11.514615776079609,7.723367922573857,11.514615776079609,7.723367922573857
2021-07-01,762.2005,757.3189806535139,756.9268894335866,4.8815193464861295,5.273610566413481,4.8815193464861295,5.273610566413481
2021-08-01,770.7613,763.6716252957383,767.7268558163786,7.089674704261711,3.0344441836214173,7.089674704261711,3.0344441836214173
2021-09-01,774.1178,772.9007301596939,773.8666010610801,1.217069840306067,0.2511989389198561,1.217069840306067,0.2511989389198561
2021-10-01,781.81,774.4850301673989,774.0023694983886,7.3249698326010275,7.8076305016113565,7.3249698326010275,7.8076305016113565
2021-11-01,799.6378,784.0208142366541,790.5372009641637,15.616985763345838,9.10059903583624,15.616985763345838,9.10059903583624
2021-12-01,832.0225,804.3679979028616,819.1527145394211,27.654502097138447,12.869785460578896,27.654502097138447,12.869785460578896
2022-01-01,824.9314,840.494550388427,831.6614758574607,-15.563150388426948,-6.730075857460633,15.563150388426948,6.730075857460633
2022-02-01,817.9194,820.241588991035,811.2062973117426,-2.3221889910349773,6.713102688257436,2.3221889910349773,6.713102688257436
2022-03-01,819.1544,817.2180708247797,813.5452582616472,1.936329175220294,5.609141738352832,1.936329175220294,5.609141738352832
2022-04-01,839.2068,819.742419459357,833.1565211511801,19.464380540642992,6.050278848819971,19.464380540642992,6.050278848819971
2022-05-01,854.4602,845.121115756207,843.0211419628894,9.339084243792968,11.439058037110613,9.339084243792968,11.439058037110613
2022-06-01,876.5813,857.3043343988519,861.5262712299508,19.276965601148163,15.055028770049262,19.276965601148163,15.055028770049262
2022-07-01,892.7782,882.4868718582388,882.2279278950626,10.291328141761142,10.550272104937335,10.291328141761142,10.550272104937335
2022-08-01,905.0845,895.9402591226099,900.1258833178122,9.144240877390189,4.9586166821878805,9.144240877390189,4.9586166821878805
2022-09-01,915.3146,907.9069702105509,908.8334816181723,7.4076297894491745,6.481118381827741,7.4076297894491745,6.481118381827741
2022-10-01,924.3246,917.6044467846716,917.4266552231223,6.720153215328423,6.897944776877694,6.720153215328423,6.897944776877694
2022-11-01,938.9475,926.4049500527581,933.3443794697757,12.542549947241923,5.60312053022426,12.542549947241923,5.60312053022426
2022-12-01,973.8679,942.8383805568523,958.1709781300167,31.029519443147706,15.69692186998327,31.029519443147706,15.69692186998327
2023-01-01,966.4774,983.58890883504,974.2967017145727,-17.111508835040013,-7.819301714572703,17.111508835040013,7.819301714572703
2023-02-01,953.7939,961.2299052275025,952.6101061522536,-7.4360052275025055,1.183793847746415,7.4360052275025055,1.183793847746415
2023-03-01,949.4703,951.4972178184285,948.1451604259024,-2.026917818428501,1.325139574097534,2.026917818428501,1.325139574097534
2023-04-01,964.1565,948.8402043730591,962.5670591633344,15.316295626940928,1.5894408366656307,15.316295626940928,1.5894408366656307
2023-05-01,974.2267,968.9124955379059,967.2627881355173,5.314204462094153,6.963911864482725,5.314204462094153,6.963911864482725
2023-06-01,989.3131,975.8772155330423,980.8367752520396,13.435884466957646,8.476324747960348,13.435884466957646,8.476324747960348
2023-07-01,998.5251,993.4971238466392,993.7139255430407,5.0279761533607825,4.811174456959293,5.0279761533607825,4.811174456959293
